2026-08-13 00:21:37 INFO [__main__] seeded 2 dmx device(s): ['GigBAR 2', 'Keobin Light Bar']
2026-08-13 00:21:37 INFO [__main__] universe 1, channels 1-23: GigBAR 2 (23CH)
2026-08-13 00:21:37 INFO [__main__] universe 1, channels 25-42: Keobin Light Bar (18CH)
2026-08-13 00:23:47 INFO [server.tuning] latency tuning applied: switchinterval=0.0010s gc gen0=100000
2026-08-13 00:23:47 INFO [__main__] serving on http://0.0.0.0:8800 (ws at /ws/show)
2026-08-13 00:23:47 INFO [server.app] show engine started
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
2026-08-13 00:24:17 INFO [runtime.scene_controller] activated scene 'full-chase': 3 dmx cues at 1 beats, 2 wled cues at 4 beats
